Solar_%,Wind_%,Num_Solar_Panels,Area_Solar_m2,Num_Turbines
0,100,0,0.0,340
1,99,480784,797981.2440000001,337
2,98,961552,1595935.932,333
3,97,1442320,2393890.62,330
4,96,1923088,3191845.308,326
5,95,2403856,3989799.9960000003,323
6,94,2884624,4787754.684,320
7,93,3365392,5585709.372,316
8,92,3846160,6383664.0600000005,313
9,91,4326928,7181618.748000001,309
10,90,4807712,7979599.992000001,306
11,89,5288480,8777554.68,303
12,88,5769248,9575509.368,299
13,87,6250016,10373464.056,296
14,86,6730784,11171418.744,292
15,85,7211552,11969373.432,289
16,84,7692320,12767328.120000001,286
17,83,8173088,13565282.808,282
18,82,8653856,14363237.496000001,279
19,81,9134624,15161192.184,275
20,80,9615408,15959173.428000001,272
21,79,10096176,16757128.116,269
22,78,10576944,17555082.804,265
23,77,11057712,18353037.492000002,262
24,76,11538480,19150992.18,258
25,75,12019248,19948946.868,255
26,74,12500016,20746901.556,252
27,73,12980784,21544856.244,248
28,72,13461552,22342810.932,245
29,71,13942320,23140765.62,242
30,70,14423104,23938746.864,238
31,69,14903872,24736701.552,235
32,68,15384640,25534656.240000002,231
33,67,15865408,26332610.928,228
34,66,16346176,27130565.616,225
35,65,16826944,27928520.304,221
36,64,17307712,28726474.992000002,218
37,63,17788480,29524429.68,214
38,62,18269248,30322384.368,211
39,61,18750016,31120339.056,208
40,60,19230800,31918320.3,204
41,59,19711568,32716274.988,201
42,58,20192336,33514229.676000003,197
43,57,20673104,34312184.364,194
44,56,21153872,35110139.052,191
45,55,21634640,35908093.74,187
46,54,22115408,36706048.428,184
47,53,22596176,37504003.116000004,180
48,52,23076944,38301957.804,177
49,51,23557712,39099912.492,174
50,50,24038496,39897893.736,170
51,49,24519264,40695848.424,167
52,48,25000032,41493803.112,163
53,47,25480800,42291757.800000004,160
54,46,25961568,43089712.488,157
55,45,26442336,43887667.176,153
56,44,26923104,44685621.864,150
57,43,27403872,45483576.552,146
58,42,27884640,46281531.24,143
59,41,28365408,47079485.928,140
60,40,28846192,47877467.172,136
61,39,29326960,48675421.86,133
62,38,29807728,49473376.548,129
63,37,30288496,50271331.236,126
64,36,30769264,51069285.924,123
65,35,31250032,51867240.612,119
66,34,31730800,52665195.300000004,116
67,33,32211568,53463149.988000005,113
68,32,32692336,54261104.676,109
69,31,33173104,55059059.364,106
70,30,33653888,55857040.608,102
71,29,34134656,56654995.296000004,99
72,28,34615424,57452949.984000005,96
73,27,35096192,58250904.672,92
74,26,35576960,59048859.36,89
75,25,36057728,59846814.048,85
76,24,36538496,60644768.736,82
77,23,37019264,61442723.424,79
78,22,37500032,62240678.112,75
79,21,37980800,63038632.800000004,72
80,20,38461584,63836614.044,68
81,19,38942352,64634568.732,65
82,18,39423120,65432523.42,62
83,17,39903888,66230478.108,58
84,16,40384656,67028432.796000004,55
85,15,40865424,67826387.484,51
86,14,41346192,68624342.172,48
87,13,41826960,69422296.86,45
88,12,42307728,70220251.54800001,41
89,11,42788496,71018206.236,38
90,10,43269280,71816187.48,34
91,9,43750048,72614142.168,31
92,8,44230816,73412096.856,28
93,7,44711584,74210051.544,24
94,6,45192352,75008006.23200001,21
95,5,45673120,75805960.92,17
96,4,46153888,76603915.608,14
97,3,46634656,77401870.296,11
98,2,47115424,78199824.984,7
99,1,47596192,78997779.672,4
100,0,48076976,79795760.91600001,0
